start	end	text
0	7000	Bonjour, c'est Alex Citibault et bienvenue à l'épisode 3 de Making Music in Shaded Toy.
7000	11000	La dernière fois que nous avons regardé la synthèse des modulations de fréquence
11000	15000	et nous avons créé un couple d'instruments en utilisant ça.
15000	21000	Nous avons vu comment c'est un outil convenu pour créer des instruments.
21000	28000	Et aujourd'hui, j'aimerais remplir notre outil de instruments.
28000	34000	Nous avons créé une chanson avec 100 BPM.
34000	44000	J'aimerais ajouter un bass, un marimba et un autre synthèse.
44000	52000	Nous allons donc faire la marimba en utilisant la synthèse de modulation de fréquence.
52000	58000	Il s'agit d'une sorte de chanson classique dans la modulation de fréquence.
58000	70000	Et pour le bass et l'autre synthèse, nous allons le faire en utilisant un outil de synthèse de modulation de fréquence.
70000	76000	C'est un outil de chanson classique.
76000	81000	C'est un outil de chanson classique.
81000	85000	C'est un outil de chanson classique.
85000	93000	La dernière fois que nous avons créé une modulation de fréquence, nous avons créé un outil de chanson
124000	134000	Nous allons commencer avec la marimba.
134000	142000	La marimba est une sorte de chanson classique.
142000	150000	C'est un outil de chanson classique.
150000	157000	Comment créer ça, c'est très simple.
158000	165000	Vous voulez jouer une note de marimba à fréquence F avec un temps T.
165000	175000	Le T ici, comme dans tout le synthèse que j'ai créé, c'est le temps depuis le début de la note.
175000	180000	Nous faisons une modulation de fréquence avec des fréquences de carrière.
181000	186000	La modulation de fréquence est ici.
186000	189000	Nous avons une frequency de carrière et une frequency de modulateur.
189000	191000	Nous faisons un index de modulation.
191000	196000	Nous faisons un signage de 2pi fc T.
196000	204000	Nous faisons un frac ici pour éviter des problèmes avec la précision dans la fonction des signes.
204000	214000	2pi fc T est juste une frequency de carrière et une frequency de carrière.
214000	220000	Nous faisons un index de modulation avec une frequency de carrière et une frequency de modulateur.
220000	229000	Nous faisons un frac ici pour éviter des problèmes avec la fréquence de carrière et une frequency de carrière.
229000	233000	Nous faisons une frequency de carrière et une frequency de modulateur.
233000	248000	Si vous vous souvenez de la dernière fois, nous avons vu que le signal de modulation de fréquence contient une frequency de fc plus et moins multiples de fm.
248000	253000	Donc ici il sera f plus et moins multiples de 7 fois f.
254000	264000	Le premier signal de modulation sera f plus et plus de 7 fois f, donc 8 fois f, et f minus et plus de 7 fois f, donc moins de 6 fois f,
264000	269000	ce qui sera un point positif.
269000	272000	Donc plus de 6 fois f.
272000	292000	Nous avons une fréquence très étrange, et ça ressemble à un instrument de marimba, comme un xylophone.
292000	302000	Pour le index de modulation, vous voyez que j'ai mis quelque chose qui commence à 1,5, et puis qui se déclare très rapidement à 0.
302000	314000	Donc seulement au début de la note, on obtient ces harmoniques, et très rapidement on obtient seulement le component sinusoidal.
314000	320000	C'est aussi l'une de la façon dont le physique de l'instrument fonctionne.
320000	330000	C'est un instrument qui joue une très bizarre façon de distraire les harmoniques quand c'est trac,
330000	337000	mais très rapidement, ces harmoniques se déclarent et vous n'avez qu'une fréquence fondamentale.
337000	343000	Donc c'est l'idée avec ça. Et puis on met un détail sur ça.
343000	346000	Un détail simple et exponentiel.
346000	352000	Donc si on écoute le marimba en itself, ça va sembler comme ça.
352000	356000	6 plus de 7 fois marimba.
357000	363000	C'est-à-dire à 440, et on va le jouer à chaque seconde.
363000	365000	C'est là.
368000	372000	Donc comme vous le voyez, ça a vraiment une qualité de voie.
